Number,State,Value,Param learning_rate,Param max_depth,Param n_estimators,Param reg_alpha,Param reg_lambda
0,COMPLETE,0.9496760693918741,0.08437807669165948,2,44,0.06693858908515127,0.0811174097753711
1,COMPLETE,0.9452107584669817,0.03260288266105605,4,23,0.03914978144986737,0.06091759837897158
2,COMPLETE,0.9514341054419061,0.09337978838676501,3,46,0.05945120764585473,0.08313431118691995
3,COMPLETE,0.9525166494202552,0.07295064516597102,2,118,0.07763616615062802,0.056499695679128076
4,COMPLETE,0.9186937375855573,0.00622771365947393,3,49,0.08541007180438186,0.05393490846070542
5,COMPLETE,0.9471046614716998,0.03749284693516266,3,31,0.07057200537952205,0.0787313191857078
6,COMPLETE,0.9537341454243029,0.09878363801512305,3,116,0.047853863461268076,0.06455284815706637
7,COMPLETE,0.9518396934621919,0.049796935212313716,6,90,0.01589199356865542,0.009768510921872673
8,COMPLETE,0.9512992449091063,0.0788111635654545,3,88,0.06829691160988459,0.09919403361897502
9,COMPLETE,0.949135071881396,0.07224756953925178,4,24,0.08051207235768314,0.02899515691281591
10,COMPLETE,0.9530570979733408,0.1,8,120,0.001,0.001
11,COMPLETE,0.9523805079868726,0.1,8,120,0.1,0.1
12,COMPLETE,0.9519753774310807,0.059758050988331514,2,120,0.001,0.1
13,COMPLETE,0.9525164664344576,0.1,2,120,0.001,0.09999999999999999
14,COMPLETE,0.9523810569442652,0.1,2,120,0.09999999999999999,0.001
15,COMPLETE,0.9535982784696166,0.07684371478195517,8,120,0.001,0.001
16,COMPLETE,0.9529215054973509,0.06121868654377176,8,120,0.09999999999999999,0.1
17,COMPLETE,0.9533276424750292,0.08678006096450283,8,120,0.0643440921556599,0.001
18,COMPLETE,0.9471042955001048,0.05180941962516547,8,20,0.001,0.09999999999999999
19,COMPLETE,0.9529215969902497,0.0617918274441263,8,120,0.1,0.001
20,COMPLETE,0.9522458304398704,0.08965512172291756,2,120,0.001,0.001
21,COMPLETE,0.9535981869767177,0.08921222997242481,8,120,0.014964624542027235,0.09407977849567378
22,COMPLETE,0.9512987874446125,0.05388488922620287,2,120,0.1,0.001
23,COMPLETE,0.952921871468946,0.06380933851934784,8,120,0.001,0.001
24,COMPLETE,0.9522452814824778,0.07488037282877247,8,120,0.053820291324217825,0.058272692311086706
25,COMPLETE,0.952110420949678,0.08786535045505345,8,120,0.001,0.001
26,COMPLETE,0.9498107469388763,0.1,8,20,0.001,0.001
27,COMPLETE,0.9526513269672574,0.09126340589458354,2,120,0.1,0.1
28,COMPLETE,0.9533280084466245,0.09677993095295849,8,120,0.025391645972264783,0.1
29,COMPLETE,0.9522458304398704,0.06997146835044789,2,120,0.001,0.001
30,COMPLETE,0.9531926904493307,0.04532628815315263,8,120,0.001,0.1
31,COMPLETE,0.9518393274905967,0.0457412532099167,8,120,0.001,0.001
32,COMPLETE,0.9529216884831484,0.04934841473901114,8,120,0.1,0.1
33,COMPLETE,0.9529217799760472,0.07683723614804683,8,120,0.1,0.001
34,COMPLETE,0.9522455559611741,0.052573161875583224,8,120,0.001,0.1
35,COMPLETE,0.9526507780098648,0.09433399772998563,8,120,0.05639608828719149,0.05260991899729048
36,COMPLETE,0.9507581559057293,0.0445860311417927,2,120,0.001,0.1
37,COMPLETE,0.9519750114594855,0.1,8,120,0.001,0.1
38,COMPLETE,0.9533276424750292,0.08291920016189527,8,120,0.001,0.1
39,COMPLETE,0.954139184487196,0.08616357787858234,8,120,0.1,0.1
40,COMPLETE,0.9534627774865255,0.08585247199241014,8,120,0.1,0.1
41,COMPLETE,0.9527868279503486,0.08906926867355942,8,120,0.1,0.1
42,COMPLETE,0.9458876229321461,0.1,2,20,0.1,0.1
43,COMPLETE,0.9510279684642275,0.09048674926062218,8,77,0.1,0.001
44,COMPLETE,0.9521106039354755,0.08811262218734382,2,120,0.001,0.1
45,COMPLETE,0.952381148437164,0.1,2,120,0.001,0.001
46,COMPLETE,0.9538689144642039,0.09011544615311197,8,75,0.001,0.1
47,COMPLETE,0.9531921414919381,0.09374691438882247,8,80,0.001,0.1
48,COMPLETE,0.951704100986202,0.08127488853996356,8,64,0.001,0.001
49,COMPLETE,0.9534628689794241,0.04082033228738144,8,120,0.1,0.1
50,COMPLETE,0.9530571894662396,0.042925766824899125,8,120,0.1,0.001
51,COMPLETE,0.9488637954365171,0.08754114720432475,8,20,0.001,0.09999999999999999
52,COMPLETE,0.9519751029523844,0.1,2,78,0.001,0.001
53,COMPLETE,0.95251628344866,0.043984295982399474,8,95,0.1,0.1
54,COMPLETE,0.9535979124980214,0.08946439371198386,8,97,0.001,0.1
